primary_name,primary_title,weighted_rating
Christopher Nolan,Inception,8.766945555516259
Alper Caglar,The Mountain II,8.70923025770897
Anthony Russo,Avengers: Endgame,8.66767401074796
Joe Russo,Avengers: Endgame,8.66767401074796
Christopher Nolan,Interstellar,8.557199788723992
Olivier Nakache,The Intouchables,8.422855677354228
Éric Toledano,The Intouchables,8.422855677354228
Anthony Russo,Avengers: Infinity War,8.422144344369947
Joe Russo,Avengers: Infinity War,8.422144344369947
Damien Chazelle,Whiplash,8.415593668018868
Christopher Nolan,The Dark Knight Rises,8.363418099491142
Quentin Tarantino,Django Unchained,8.358199962795362
Bob Persichetti,Spider-Man: Into the Spider-Verse,8.270288698387665
Peter Ramsey,Spider-Man: Into the Spider-Verse,8.270288698387665
Rodney Rothman,Spider-Man: Into the Spider-Verse,8.270288698387665
Lee Unkrich,Toy Story 3,8.230457404930306
Adrian Molina,Coco,8.228978156416076
Lee Unkrich,Coco,8.228978156416076
Martin Scorsese,The Wolf of Wall Street,8.155975458288614
Nitesh Tiwari,Dangal,8.135478309718915
Murat Dündar,CM101MMXI Fundamentals,8.123050255408653
Pete Docter,Inside Out,8.116815118473362
Ronnie Del Carmen,Inside Out,8.116815118473362
Thomas Vinterberg,The Hunt,8.116324855750378
Gavin O'Connor,Warrior,8.091122494198318
Peter Farrelly,Green Book,8.086140160541284
Asghar Farhadi,A Separation,8.079140957590129
Makoto Shinkai,Your Name.,8.075129019888864
Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",8.073507236205685
Joss Whedon,The Avengers,8.063445503472868
Lenny Abrahamson,Room,8.063420116386915
Martin Scorsese,Shutter Island,8.05714501532552
James Gunn,Guardians of the Galaxy,8.054610594476646
George Miller,Mad Max: Fury Road,8.045177780397315
David Fincher,Gone Girl,8.043831395437532
David Yates,Harry Potter and the Deathly Hallows: Part 2,8.038365488571289
Wes Anderson,The Grand Budapest Hotel,8.03291602389296
Dean DeBlois,How to Train Your Dragon,8.03056444375993
Chris Sanders,How to Train Your Dragon,8.03056444375993
Steve McQueen,12 Years a Slave,8.026645024663747
James Mangold,Logan,8.024510439626155
Denis Villeneuve,Prisoners,8.019854999247196
Ron Howard,Rush,7.994412360761596
Tate Taylor,The Help,7.994225806142699
Mel Gibson,Hacksaw Ridge,7.98726378143627
Tom McCarthy,Spotlight,7.9867453410576505
Denis Villeneuve,Incendies,7.970266197806324
Tim Miller,Deadpool,7.950721850405571
J.J. Abrams,Star Wars: Episode VII - The Force Awakens,7.948527038207908
Ridley Scott,The Martian,7.940886641346956
Darren Aronofsky,Black Swan,7.938144204827752
Alejandro G. Iñárritu,The Revenant,7.935496399682448
Morten Tyldum,The Imitation Game,7.935460544040729
Bryan Singer,X-Men: Days of Future Past,7.935385007107656
Tom Hooper,The King's Speech,7.932622339075601
Spike Jonze,Her,7.915320875115799
Rajkumar Hirani,PK,7.913629824798173
Damien Chazelle,La La Land,7.909597729195133
Stephen Chbosky,The Perks of Being a Wallflower,7.9068919474346115
Jean-Marc Vallée,Dallas Buyers Club,7.902490104383547
Byron Howard,Zootopia,7.897950341048755
Rich Moore,Zootopia,7.897950341048755
Jared Bush,Zootopia,7.897950341048755
Denis Villeneuve,Blade Runner 2049,7.896117856849126
Asif Kapadia,Senna,7.894283037426231
Bryan Singer,Bohemian Rhapsody,7.887488258031777
Garth Davis,Lion,7.886149268396571
Damián Szifron,Wild Tales,7.849142502682784
Peter Jackson,The Hobbit: An Unexpected Journey,7.847380809772384
Doug Liman,Edge of Tomorrow,7.831414541629033
Ang Lee,Life of Pi,7.830136840359748
Denis Villeneuve,Arrival,7.827505999263622
Taika Waititi,Thor: Ragnarok,7.822869762497662
Christopher Nolan,Dunkirk,7.820294204402132
Dan Gilroy,Nightcrawler,7.808768417792845
