primary_name,primary_title,weighted_rating
Jack Kirby,Avengers: Endgame,8.66767401074796
Christopher Markus,Avengers: Endgame,8.66767401074796
Stephen McFeely,Avengers: Endgame,8.66767401074796
Stan Lee,Avengers: Endgame,8.66767401074796
Jonathan Nolan,Interstellar,8.557199788723992
Philippe Pozzo di Borgo,The Intouchables,8.422855677354228
Jack Kirby,Avengers: Infinity War,8.422144344369947
Christopher Markus,Avengers: Infinity War,8.422144344369947
Stephen McFeely,Avengers: Infinity War,8.422144344369947
Stan Lee,Avengers: Infinity War,8.422144344369947
Jonathan Nolan,The Dark Knight Rises,8.363418099491142
David S. Goyer,The Dark Knight Rises,8.363418099491142
Bob Kane,The Dark Knight Rises,8.363418099491142
Phil Lord,Spider-Man: Into the Spider-Verse,8.270288698387665
John Lasseter,Toy Story 3,8.230457404930306
Andrew Stanton,Toy Story 3,8.230457404930306
Michael Arndt,Toy Story 3,8.230457404930306
Jason Katz,Coco,8.228978156416076
Matthew Aldrich,Coco,8.228978156416076
Terence Winter,The Wolf of Wall Street,8.155975458288614
Jordan Belfort,The Wolf of Wall Street,8.155975458288614
Piyush Gupta,Dangal,8.135478309718915
Shreyas Jain,Dangal,8.135478309718915
Nikhil Mehrotra,Dangal,8.135478309718915
Rajshri Sudhakar,Dangal,8.135478309718915
Simon Rich,Inside Out,8.116815118473362
Meg LeFauve,Inside Out,8.116815118473362
Josh Cooley,Inside Out,8.116815118473362
Michael Arndt,Inside Out,8.116815118473362
Tobias Lindholm,The Hunt,8.116324855750378
Anthony Tambakis,Warrior,8.091122494198318
Cliff Dorfman,Warrior,8.091122494198318
Nick Vallelonga,Green Book,8.086140160541284
Brian Hayes Currie,Green Book,8.086140160541284
Clark Cheng,Your Name.,8.075129019888864
Zak Penn,The Avengers,8.063445503472868
Emma Donoghue,Room,8.063420116386915
Laeta Kalogridis,Shutter Island,8.05714501532552
Dennis Lehane,Shutter Island,8.05714501532552
Keith Giffen,Guardians of the Galaxy,8.054610594476646
Nicole Perlman,Guardians of the Galaxy,8.054610594476646
Dan Abnett,Guardians of the Galaxy,8.054610594476646
Andy Lanning,Guardians of the Galaxy,8.054610594476646
Bill Mantlo,Guardians of the Galaxy,8.054610594476646
Brendan McCarthy,Mad Max: Fury Road,8.045177780397315
Nick Lathouris,Mad Max: Fury Road,8.045177780397315
Gillian Flynn,Gone Girl,8.043831395437532
Steve Kloves,Harry Potter and the Deathly Hallows: Part 2,8.038365488571289
J.K. Rowling,Harry Potter and the Deathly Hallows: Part 2,8.038365488571289
Stefan Zweig,The Grand Budapest Hotel,8.03291602389296
Hugo Guinness,The Grand Budapest Hotel,8.03291602389296
Adam F. Goldberg,How to Train Your Dragon,8.03056444375993
William Davies,How to Train Your Dragon,8.03056444375993
Cressida Cowell,How to Train Your Dragon,8.03056444375993
Marc Hyman,How to Train Your Dragon,8.03056444375993
John Ridley,12 Years a Slave,8.026645024663747
Solomon Northup,12 Years a Slave,8.026645024663747
Len Wein,Logan,8.024510439626155
Scott Frank,Logan,8.024510439626155
Michael Green,Logan,8.024510439626155
John Romita Sr.,Logan,8.024510439626155
Roy Thomas,Logan,8.024510439626155
Aaron Guzikowski,Prisoners,8.019854999247196
Peter Morgan,Rush,7.994412360761596
Kathryn Stockett,The Help,7.994225806142699
